domain,canonical_field,legacy_aliases,database_model_and_field,shared_contracts,backend_logic_refs,frontend_refs,status,notes
listing,listingType,"FORM_PLACEMENT values postad|postservice|postsparepart are UI-only",backend/src/models/Ad.ts:125,shared/enums/listingType.ts:6;shared/enums/listingType.ts:15,backend/src/services/AdQueryService.ts:292,frontend/src/components/user/profile/tabs/MyAdsTab.tsx:217,active,"Canonical enum values are ad|service|spare_part."
ownership,sellerId,userId,backend/src/models/Ad.ts:127,shared/schemas/ad.schema.ts:27,backend/src/controllers/listingController.ts:54,shared/schemas/ad.schema.ts:27,active,"userId is deprecated alias kept for compatibility."
catalog,categoryId,,backend/src/models/Ad.ts:107,shared/schemas/adPayload.schema.ts:39;shared/schemas/servicePayload.schema.ts:43,backend/src/controllers/service/serviceMutationController.ts:282,frontend/src/components/user/post-service/PostServiceForm.tsx:43;frontend/src/components/user/post-ad/PostAdContext.tsx:335,active,"Canonical category reference ObjectId."
catalog,brandId,,backend/src/models/Ad.ts:108,shared/schemas/adPayload.schema.ts:41;shared/schemas/servicePayload.schema.ts:44,backend/src/controllers/service/serviceMutationController.ts:282,frontend/src/components/user/post-service/PostServiceForm.tsx:44;frontend/src/components/user/post-ad/PostAdContext.tsx:359,active,"Canonical brand reference ObjectId."
catalog,modelId,,backend/src/models/Ad.ts:109,shared/schemas/adPayload.schema.ts:42;shared/schemas/servicePayload.schema.ts:45,backend/src/controllers/service/serviceMutationController.ts:282,frontend/src/components/user/post-ad/PostAdContext.tsx:342,active,"Canonical model reference ObjectId."
location,location.locationId,"top-level locationId retired in ad payload",backend/src/models/Ad.ts:185,shared/schemas/adPayload.schema.ts:76,backend/src/controllers/service/serviceMutationController.ts:67;backend/src/controllers/service/serviceMutationController.ts:357,frontend/src/hooks/listings/useListingSubmission.ts:74;frontend/src/components/user/post-service/PostServiceForm.tsx:77,active,"location.locationId is SSOT; city/state are denormalized."
lifecycle,status,,backend/src/models/Ad.ts:129,shared/enums/adStatus.ts:6,backend/src/controllers/service/serviceMutationController.ts:447,frontend/src/components/user/profile/tabs/MyAdsTab.tsx:214,active,"Status contract shared via AD_STATUS/LIFECYCLE_STATUS."
service,serviceTypeIds,serviceTypes,backend/src/models/Ad.ts:228,shared/schemas/servicePayload.schema.ts:12;shared/schemas/servicePayload.schema.ts:128,backend/src/controllers/service/serviceMutationController.ts:34;backend/src/controllers/service/serviceMutationController.ts:338,frontend/src/components/user/post-service/PostServiceForm.tsx:45;frontend/src/api/user/services.ts:57,active,"serviceTypeIds is canonical write field; serviceTypes accepted as legacy fallback."
spare_part,sparePartId,sparePartTypeId (frontend UI only),backend/src/models/Ad.ts:229,shared/schemas/sparePartPayload.schema.ts:36,backend/src/controllers/sparePartListingController.ts:124,frontend/src/components/user/post-spare-part/PostSparePartForm.tsx:187,active,"UI field sparePartTypeId is mapped to canonical sparePartId in submit payload."
ad_metadata,sparePartIds,spareParts (UI selection array),backend/src/models/Ad.ts:111,shared/schemas/adPayload.schema.ts:81,backend/src/services/AdCreationService.ts:144,frontend/src/components/user/post-ad/PostAdContext.tsx:430,active,"Used for ad listing spare-part metadata; distinct from sparePartId in spare-part listings."
routing,my-ads,myads (UI tab key only),N/A,shared/contracts/api/userRoutes.ts:29;shared/contracts/api/userRoutes.ts:30,backend/src/routes/adRoutes.ts:49,frontend/src/lib/routeUtils.ts:95;frontend/src/config/navigation.ts:52;frontend/src/hooks/useMyAds.ts:15,active,"my-ads is canonical route/API key; myads remains internal tab-state token."
