ID,Name,Level,Problems
"69ac4b49434f2782980accae","Gujarat","state","Slug Mismatch: current "gujarat-gujarat-india" vs canonical "gujarat-india""
"69ac4b49434f2782980accaf","Nagaland","state","Slug Mismatch: current "nagaland-nagaland-india" vs canonical "nagaland-india""
"69ac4b49434f2782980accb0","Andhra Pradesh","state","Slug Mismatch: current "andhra-pradesh-andhra-pradesh-india" vs canonical "andhra-pradesh-india""
"69ac4b49434f2782980accb1","Jharkhand","state","Slug Mismatch: current "jharkhand-jharkhand-india" vs canonical "jharkhand-india""
"69ac4b49434f2782980accb2","Tripura","state","Slug Mismatch: current "tripura-tripura-india" vs canonical "tripura-india""
"69ac4b49434f2782980accb3","Daman and Diu","state","Slug Mismatch: current "daman-and-diu-daman-and-diu-india" vs canonical "daman-and-diu-india""
"69ac4b49434f2782980accb4","Haryana","state","Slug Mismatch: current "haryana-haryana-india" vs canonical "haryana-india""
"69ac4b49434f2782980accb5","West Bengal","state","Slug Mismatch: current "west-bengal-west-bengal-india" vs canonical "west-bengal-india""
"69ac4b49434f2782980accb6","Lakshadweep","state","Slug Mismatch: current "lakshadweep-lakshadweep-india" vs canonical "lakshadweep-india""
"69ac4b49434f2782980accb7","Punjab","state","Slug Mismatch: current "punjab-punjab-india" vs canonical "punjab-india""
"69ac4b49434f2782980accb8","Ladakh","state","Slug Mismatch: current "ladakh-ladakh-india" vs canonical "ladakh-india""
"69ac4b49434f2782980accb9","Meghalaya","state","Slug Mismatch: current "meghalaya-meghalaya-india" vs canonical "meghalaya-india""
"69ac4b49434f2782980accba","Mizoram","state","Slug Mismatch: current "mizoram-mizoram-india" vs canonical "mizoram-india""
"69ac4b49434f2782980accbb","Uttarakhand","state","Slug Mismatch: current "uttarakhand-uttarakhand-india" vs canonical "uttarakhand-india""
"69ac4b49434f2782980accbc","Goa","state","Slug Mismatch: current "goa-goa-india" vs canonical "goa-india""
"69ac4b49434f2782980accbd","Madhya Pradesh","state","Slug Mismatch: current "madhya-pradesh-madhya-pradesh-india" vs canonical "madhya-pradesh-india""
"69ac4b49434f2782980accbe","Kerala","state","Slug Mismatch: current "kerala-kerala-india" vs canonical "kerala-india""
"69ac4b49434f2782980accbf","Delhi","state","Slug Mismatch: current "delhi-delhi-india" vs canonical "delhi-india""
"69ac4b49434f2782980accc0","Karnataka","state","Slug Mismatch: current "karnataka-karnataka-india" vs canonical "karnataka-india""
"69ac4b49434f2782980accc1","Arunachal Pradesh","state","Slug Mismatch: current "arunachal-pradesh-arunachal-pradesh-india" vs canonical "arunachal-pradesh-india""
"69ac4b49434f2782980accc2","Maharashtra","state","Slug Mismatch: current "maharashtra-maharashtra-india" vs canonical "maharashtra-india""
"69ac4b49434f2782980accc3","Odisha","state","Slug Mismatch: current "odisha-odisha-india" vs canonical "odisha-india""
"69ac4b49434f2782980accc4","Chhattisgarh","state","Slug Mismatch: current "chhattisgarh-chhattisgarh-india" vs canonical "chhattisgarh-india""
"69ac4b49434f2782980accc5","Sikkim","state","Slug Mismatch: current "sikkim-sikkim-india" vs canonical "sikkim-india""
"69ac4b49434f2782980accc6","Tamil Nadu","state","Slug Mismatch: current "tamil-nadu-tamil-nadu-india" vs canonical "tamil-nadu-india""
"69ac4b49434f2782980accc7","Uttar Pradesh","state","Slug Mismatch: current "uttar-pradesh-uttar-pradesh-india" vs canonical "uttar-pradesh-india""
"69ac4b49434f2782980accc8","Manipur","state","Slug Mismatch: current "manipur-manipur-india" vs canonical "manipur-india""
"69ac4b49434f2782980accc9","Rajasthan","state","Slug Mismatch: current "rajasthan-rajasthan-india" vs canonical "rajasthan-india""
"69ac4b49434f2782980accca","Andaman and Nicobar","state","Slug Mismatch: current "andaman-and-nicobar-andaman-and-nicobar-india" vs canonical "andaman-and-nicobar-india""
"69ac4b49434f2782980acccb","Himachal Pradesh","state","Slug Mismatch: current "himachal-pradesh-himachal-pradesh-india" vs canonical "himachal-pradesh-india""
"69ac4b49434f2782980acccc","Bihar","state","Slug Mismatch: current "bihar-bihar-india" vs canonical "bihar-india""
"69ac4b49434f2782980acccd","Telangana","state","Slug Mismatch: current "telangana-telangana-india" vs canonical "telangana-india""
"69ac4b49434f2782980accce","Jammu and Kashmir","state","Slug Mismatch: current "jammu-and-kashmir-jammu-and-kashmir-india" vs canonical "jammu-and-kashmir-india""
"69ac4b49434f2782980acccf","Dadra and Nagar Haveli and Daman and Diu","state","Slug Mismatch: current "dadra-and-nagar-haveli-and-daman-and-diu-dadra-and-nagar-haveli-and-daman-and-diu-india" vs canonical "dadra-and-nagar-haveli-and-daman-and-diu-india""
