Group,Route Path,Page / Feature Name,Access Level,File Location,Guards / Prerequisites,Key Sub-Components,Primary Capabilities,User Flows Triggered,URL Parameters / Query Keys,,,,,
Public,/,Home Page,Public (Guest),apps/web/src/app/(public)/page.tsx,None,"HomeFeed, CategoryBrowser, HomeLocationAutoPrompt, AdPlacementSlot, Container","Category browser, personalized marketplace ad feed, auto-location prompt, banner ad slots, SEO schemas (Organization, WebSite)","Category navigation, infinite scroll listing browse, location auto-detect, sponsored ad click",None,,,,,
Public,/search,Search & Browse Marketplace,Public (Guest),apps/web/src/app/(public)/search/page.tsx,None,"BrowseAds, BrowseListingsView, AdCardGrid, AdCardList, AdCardSkeleton","Multi-type browse switcher (Ads/Services/Parts), keyword search, price range, brand/model filter, distance radius slider, sort dropdown","Keyword search query, radius slider adjustment, category facet selection, grid/list view toggle","q, type, category, categoryId, modelId, brands, minPrice, maxPrice, locationId, radiusKm, sort, page",,,,,
Public,/category/[category],Category Browse Page,Public (Guest),apps/web/src/app/(public)/category/[category]/page.tsx,None,"ClientCategoryWrapper, BrowseAds, Breadcrumbs","Canonical slug enforcement with 308 redirect, pre-filtered category grid, subcategory hierarchy refinement","Category deep-dive, brand refinement, listing selection",[category],,,,,
Public,/ads/[slug],General Ad / Device Detail,Public (Guest),apps/web/src/app/(public)/ads/[slug]/page.tsx,None,"AdTitlePriceCard, AdImageCarousel, AdImageLightbox, ListingDescriptionCard, AdSellerCard, AdBusinessCard, ListingDetailSidebar, ListingBottomActions, AdOwnerActions","Lightbox gallery, dynamic pricing, device condition badge, seller trust card, phone unmasking, chat CTA, share modal, report abuse, owner controls","Photo zoom lightbox, chat with seller, call reveal, share ad, report ad, edit ad (owner)",[slug] (format: [seo-slug]-[id]),,,,,
Public,/spare-part-listings/[slug],Spare Part Detail Page,Public (Guest),apps/web/src/app/(public)/spare-part-listings/[slug]/page.tsx,None,"ListingDetailPage, AdImageCarousel, ListingWorkingSparePartsTab, AdBusinessCard","OEM vs aftermarket quality grading, pin/screen specs, target model compatibility list, wholesale inventory stock, direct chat","Check model fitment, view wholesale technician contact, initiate chat, request bulk quote",[slug],,,,,
Public,/spare-parts/[slug],Spare Part Legacy Route,Public (Guest),apps/web/src/app/(public)/spare-parts/[slug]/page.tsx,None,None,301 Permanent Redirect to canonical /spare-part-listings/[slug],Redirects legacy bookmarks to canonical detail page,[slug],,,,,
Public,/browse-spare-parts,Browse Spare Parts Redirect,Public (Guest),apps/web/src/app/(public)/browse-spare-parts/page.tsx,None,None,301 Permanent Redirect to canonical /search?type=spare_part,Redirects legacy browse URL to unified search engine,None,,,,,
Public,/services,Repair Services Directory,Public (Guest),apps/web/src/app/(public)/services/page.tsx,None,"BrowseAds, AdCardGrid, FilterSheet","Hyper-local repair service discovery, service type filters, proximity radius matching","Service type filter, search nearby technicians, view technician pricing",q, category, locationId, radiusKm, sort, page
Public,/services/[slug],Repair Service Detail View,Public (Guest),apps/web/src/app/(public)/services/[slug]/page.tsx,None,"ListingDetailPage, AdBusinessCard, AdImageCarousel","Price range (min-max), turnaround time estimate, doorstep vs walk-in delivery modes, verified technician card, warranty badge","Request service quote, initiate chat with technician, call shop, book repair appointment",[slug],,,,,
Public,/browse-services,Browse Services Redirect,Public (Guest),apps/web/src/app/(public)/browse-services/page.tsx,None,None,301 Permanent Redirect to canonical /services,Redirects legacy URL to services directory,None,,,,,
Public,/brands/[slug],Brand Catalog Landing,Public (Guest),apps/web/src/app/(public)/brands/[slug]/page.tsx,None,"CatalogSlugPage, BrandHero, ModelsGrid","Master catalog brand overview, brand models taxonomy grid, live marketplace listings feed for brand","Explore brand models, browse brand listings",[slug],,,,,
Public,/models/[slug],Model Catalog Landing,Public (Guest),apps/web/src/app/(public)/models/[slug]/page.tsx,None,"CatalogSlugPage, ModelSpecsCard, CompatiblePartsGrid","OEM device hardware specifications, live listings for model, available replacement spare parts","Compare device specs, find replacement screen/battery, view device listings",[slug],,,,,
Public,/business,Business Directory Redirect,Public (Guest),apps/web/src/app/(public)/business/page.tsx,None,None,301 Permanent Redirect to homepage /,Redirects bare directory to home,None,,,,,
Public,/business/[slug],Public Business Storefront,Public (Guest),apps/web/src/app/(public)/business/[slug]/page.tsx,None,"BusinessHeaderCard, BusinessSidebarCard, BusinessCatalogTabs, AdCardGrid","Verified Business shield, GST verification indicator, store banner, shop address & hours, catalog tabs (Ads/Services/Spare Parts)","Browse store inventory, view shop hours, call business, open WhatsApp chat, view shop on map",[slug] (format: [slug]-[id]),,,,,
Public,/seller/[id],Public Seller Profile,Public (Guest),apps/web/src/app/(public)/seller/[id]/page.tsx,None,"SellerProfilePage, SellerHeaderCard, AdCardGrid","Individual seller avatar, public name, member since date, verified phone badge, seller active listings feed","Browse seller active ads, initiate chat, view seller trust credentials",[id] (format: [slug]-[id]),,,,,
Public,/how-it-works,How It Works Guide,Public (Guest),apps/web/src/app/(public)/how-it-works/page.tsx,None,"InfoPage, StepCard","Step-by-step guides for Buyers, Sellers, and Technicians","Read marketplace guides, click through to post ad or browse",None,,,,,
