Module,Feature,Actor,Method,Endpoint,ActionHandler,RouteFile,PrimaryService,SchemaValidation,DBCollections,LifecycleStateImpact,UserFrontendMapping,AdminFrontendMapping,Notes
Alerts,Admin Smart Alerts,Admin,GET,/api/v1/admin/smart-alerts,smartAlertController.getSmartAlerts,backend/src/routes/admin/finance.routes.ts,SmartAlertService,validateObjectId|permission guards,SmartAlert|UserWallet,,N/A,N/A,
Alerts,Admin Smart Alerts,Admin,DELETE,/api/v1/admin/smart-alerts/:id,smartAlertController.deleteSmartAlert,backend/src/routes/admin/finance.routes.ts,SmartAlertService,validateObjectId|permission guards,SmartAlert|UserWallet,,N/A,N/A,
Alerts,Smart Alerts and Saved Searches,User,GET,/api/v1/smart-alerts/,smartAlertController.getSmartAlerts,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,
Alerts,Smart Alerts and Saved Searches,User,POST,/api/v1/smart-alerts/,smartAlertController.createSmartAlert,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,
Alerts,Smart Alerts and Saved Searches,User,DELETE,/api/v1/smart-alerts/:id,smartAlertController.deleteSmartAlert,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,DELETE now performs hard delete (with wallet slot restore when applicable)
Alerts,Smart Alerts and Saved Searches,User,PUT,/api/v1/smart-alerts/:id,smartAlertController.updateSmartAlert,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,
Alerts,Smart Alerts and Saved Searches,User,PATCH,/api/v1/smart-alerts/:id/toggle-status,smartAlertController.toggleSmartAlertStatus,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,validateObjectId|mutationLimiter,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,Toggle isActive with wallet slot consume/restore semantics
Alerts,Smart Alerts and Saved Searches,User,GET,/api/v1/smart-alerts/saved-searches,smartAlertController.listSavedSearches,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,
Alerts,Smart Alerts and Saved Searches,User,POST,/api/v1/smart-alerts/saved-searches,smartAlertController.createSavedSearchEntry,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,
Alerts,Smart Alerts and Saved Searches,User,DELETE,/api/v1/smart-alerts/saved-searches/:id,smartAlertController.deleteSavedSearchEntry,backend/src/routes/smartAlertRoutes.ts,SmartAlertService|SavedSearchService|WalletService,SmartAlertCreateSchema|SmartAlertUpdateSchema|SavedSearchCreateSchema,SmartAlert|SavedSearch|UserWallet|UserPlan,active inactive deleted + TTL expiry via expiresAt,frontend/src/api/user/smartAlerts.ts|frontend/src/api/user/savedSearches.ts|frontend/src/hooks/useSmartAlerts.ts,N/A,
Business,Admin Business Lifecycle,Admin,DELETE,/api/v1/admin/businesses/:id,businessController.deleteBusinessAccount,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,GET,/api/v1/admin/businesses/:id,businessController.getBusinessAccountById,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,PUT,/api/v1/admin/businesses/:id,businessController.updateBusinessByAdmin,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,PATCH,/api/v1/admin/businesses/:id/approve,businessController.approveBusinessAccount,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,PATCH,/api/v1/admin/businesses/:id/reject,businessController.rejectBusinessAccount,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
Business,Admin Business Lifecycle,Admin,PATCH,/api/v1/admin/businesses/:id/status,businessController.updateBusinessStatus,backend/src/routes/admin/system.routes.ts,BusinessService|AdminBusinessService|StatusMutationService,validateObjectId|permission guards,Business|User|Ad,approve reject suspend renew delete with cascades,N/A,admin-frontend/src/app/(protected)/business-requests/BusinessRequestsView.tsx|admin-frontend/src/app/(protected)/businesses/BusinessesView.tsx,
